e, 0.12031652207074078
t, 0.08895032891600725
o, 0.07293354943273907
a, 0.07255219754028029
i, 0.06997807226618363
n, 0.06778529888454571
s, 0.061969682524549534
r, 0.058632853465535324
h, 0.05253122318619507
 , 0.0476689865573458
l, 0.03918390695013824
d, 0.037658499380303176
c, 0.029650109638669084
u, 0.02593192868719611
m, 0.02421584517113166
f, 0.02230908570883783
p, 0.01935360854228239
g, 0.01859090475736486
w, 0.01801887691867671
y, 0.016398131375726953
b, 0.014682047859662505
v, 0.009438459338354467
k, 0.0061969682524549525
x, 0.0018114214891791402
j, 0.0014300695967203738
q, 0.0009533797311469159
z, 0.0008580417580322243
